artist_id;artist_name;bio;popularidad;followers;saved_albums;total_albums;spotify_url;image_640x640;image_320x320;image_60x60;last_updated
5gUjMyayETLbM1ZGWMzGng;caballo tranquilo;;0;59;2;2;https://open.spotify.com/artist/5gUjMyayETLbM1ZGWMzGng;https://i.scdn.co/image/ab6761610000e5eb7538c0ddb117712f800140c1;https://i.scdn.co/image/ab676161000051747538c0ddb117712f800140c1;https://i.scdn.co/image/ab6761610000f1787538c0ddb117712f800140c1;2022-01-26 00:52:34.251596
5geZHHhNbZl8HMADdDGed1;julián dal colletto;;0;43;3;3;https://open.spotify.com/artist/5geZHHhNbZl8HMADdDGed1;https://i.scdn.co/image/ab6761610000e5eb5935e08fb5105136516fb9ad;https://i.scdn.co/image/ab676161000051745935e08fb5105136516fb9ad;https://i.scdn.co/image/ab6761610000f1785935e08fb5105136516fb9ad;2022-01-26 00:52:40.751560
5gii2fYcxLoUHWd1lWe4aT;peteco carabajal;;47;75884;16;121;https://open.spotify.com/artist/5gii2fYcxLoUHWd1lWe4aT;https://i.scdn.co/image/ab67616d0000b27328d2ba0a9bb403274dcb2176;https://i.scdn.co/image/ab67616d00001e0228d2ba0a9bb403274dcb2176;https://i.scdn.co/image/ab67616d0000485128d2ba0a9bb403274dcb2176;2022-01-26 00:53:35.650386
5h04bWbwJJo8URbSzgaOFc;tobias indigo;;0;87;3;3;https://open.spotify.com/artist/5h04bWbwJJo8URbSzgaOFc;https://i.scdn.co/image/ab6761610000e5eba9f8801342695d274428b9a7;https://i.scdn.co/image/ab67616100005174a9f8801342695d274428b9a7;https://i.scdn.co/image/ab6761610000f178a9f8801342695d274428b9a7;2022-01-26 00:53:43.619195
5h4cKoqVLRpS0CMeCbPkrr;stereosonica;;0;106;1;1;https://open.spotify.com/artist/5h4cKoqVLRpS0CMeCbPkrr;https://i.scdn.co/image/ab67616d0000b2730a94a8c20ede7ab4884f7984;https://i.scdn.co/image/ab67616d00001e020a94a8c20ede7ab4884f7984;https://i.scdn.co/image/ab67616d000048510a94a8c20ede7ab4884f7984;2022-01-26 00:53:49.322227
5hRl4zeqw4Mtz3RAR2LvJD;lash out;;14;800;5;5;https://open.spotify.com/artist/5hRl4zeqw4Mtz3RAR2LvJD;https://i.scdn.co/image/ab6761610000e5eb58317001e65ad191fe423b37;https://i.scdn.co/image/ab6761610000517458317001e65ad191fe423b37;https://i.scdn.co/image/ab6761610000f17858317001e65ad191fe423b37;2022-01-26 00:54:09.367573
5hVPbOi3ACmBzdPrqsZDo4;audiodog;;0;49;0;0;https://open.spotify.com/artist/5hVPbOi3ACmBzdPrqsZDo4;;;;2022-01-26 00:54:12.475680
5hVTdFTyOgwBKn5CWKnwrQ;srta. trueno negro;;7;1893;8;11;https://open.spotify.com/artist/5hVTdFTyOgwBKn5CWKnwrQ;https://i.scdn.co/image/ab6761610000e5eb6581404f93a014e17d88f12a;https://i.scdn.co/image/ab676161000051746581404f93a014e17d88f12a;https://i.scdn.co/image/ab6761610000f1786581404f93a014e17d88f12a;2022-01-26 00:54:26.865857
5hZgvLyYpzayOuiiXV8dWT;queen di;;0;44;4;4;https://open.spotify.com/artist/5hZgvLyYpzayOuiiXV8dWT;https://i.scdn.co/image/ab6761610000e5eb590a51fbc119bf871d02d533;https://i.scdn.co/image/ab67616100005174590a51fbc119bf871d02d533;https://i.scdn.co/image/ab6761610000f178590a51fbc119bf871d02d533;2022-01-26 00:54:32.975654
5hZk7jgXtaUAfwSML5gFXK;botellas vacías;;0;4;2;2;https://open.spotify.com/artist/5hZk7jgXtaUAfwSML5gFXK;https://i.scdn.co/image/ab6761610000e5eb9532de04fc85a0065bc87147;https://i.scdn.co/image/ab676161000051749532de04fc85a0065bc87147;https://i.scdn.co/image/ab6761610000f1789532de04fc85a0065bc87147;2022-01-26 00:54:39.456564
